epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,11873.5,0.86794,0.59763,1.22834,0.8449,0.89889,0.88982,0.69465,0.83895,120.359,1.18909,0.00466328,0.00466328,0.00466328
140,11959.8,0.86884,0.59828,1.2306,0.84396,0.90014,0.88999,0.69501,0.83865,120.266,1.18884,0.00462461,0.00462461,0.00462461
141,12048.9,0.8683,0.60118,1.23235,0.84551,0.90022,0.89004,0.69499,0.83855,120.079,1.18863,0.00458594,0.00458594,0.00458594
142,12139.3,0.86633,0.59835,1.22871,0.84583,0.89998,0.89022,0.69525,0.83834,120.079,1.18852,0.00454727,0.00454727,0.00454727
143,12230.4,0.86152,0.59641,1.22297,0.84588,0.90005,0.89043,0.69574,0.83795,119.986,1.18802,0.00450859,0.00450859,0.00450859
144,12321.3,0.86058,0.59452,1.22397,0.84691,0.90048,0.89066,0.69617,0.83778,119.892,1.18775,0.00446992,0.00446992,0.00446992
145,12411,0.85554,0.593,1.2212,0.84695,0.90015,0.89084,0.69636,0.83758,119.892,1.1876,0.00443125,0.00443125,0.00443125
146,12497.9,0.85922,0.59494,1.22269,0.84699,0.90047,0.89087,0.6965,0.83728,119.891,1.18731,0.00439258,0.00439258,0.00439258
147,12584.6,0.85801,0.58946,1.22465,0.84775,0.89862,0.89091,0.69682,0.83711,119.798,1.18723,0.00435391,0.00435391,0.00435391
148,12667.3,0.84698,0.58796,1.21653,0.84853,0.89754,0.89094,0.69672,0.83691,119.798,1.18703,0.00431523,0.00431523,0.00431523
149,12753.2,0.84688,0.58147,1.21403,0.8485,0.89735,0.89099,0.69665,0.83674,119.704,1.18684,0.00427656,0.00427656,0.00427656
150,12837.8,0.845,0.58512,1.21124,0.8489,0.89761,0.89094,0.69695,0.83658,119.611,1.18653,0.00423789,0.00423789,0.00423789
151,12919.9,0.84933,0.58787,1.21797,0.84929,0.89708,0.89087,0.6974,0.83616,119.61,1.18621,0.00419922,0.00419922,0.00419922
152,13003.1,0.84593,0.5823,1.21471,0.84873,0.89899,0.89087,0.69797,0.83579,119.517,1.1859,0.00416055,0.00416055,0.00416055
